Keyword,Volume,CPC,KD,SERP
"best legendary brawler",260,0.00,0,no
"virtua fighter 5 ultimate showdown legendary pack",30,0.00,10,no
"best rare brawler",30,0.00,0,no
"virtua fighter 5 legendary pack",10,0.00,,no
"top mythic brawler",0,0.00,,no
"ultimate legendary fighter",0,0.00,,no
"favorite legendary character",0,0.00,,no
"powerful mythic brawler",0,0.00,,no
"top tier legendary brawler",0,0.00,,no
"elite rare brawler",0,0.00,,no
"popular legendary fighter",0,0.00,,no
"strong mythic brawler",0,0.00,,no
